ContractID,LongName,Date,Open,Low,High,Close,Volume
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-24,0.53,0.52,0.6,0.53,103
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-25,0.53,0.53,0.58,0.58,52
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-26,0.58,0.51,0.6,0.6,58
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-27,0.6,0.57,0.6,0.57,1
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-28,0.57,0.52,0.57,0.52,110
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-29,0.52,0.51,0.52,0.51,23
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-30,0.51,0.46,0.53,0.52,31
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-10-31,0.52,0.44,0.52,0.44,136
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-01,0.44,0.44,0.49,0.49,578
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-02,0.49,0.45,0.49,0.49,66
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-03,0.49,0.46,0.49,0.48,52
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-04,0.48,0.41,0.48,0.42,101
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-05,0.42,0.35,0.49,0.35,833
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-06,0.35,0.04,0.48,0.04,2034
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-07,0.04,0.04,0.78,0.38,11137
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-08,0.38,0.11,0.38,0.19,5225
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-09,0.19,0.07,0.19,0.12,3371
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-10,0.12,0.09,0.12,0.12,1575
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-11,0.12,0.07,0.12,0.07,2183
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-12,0.07,0.07,0.15,0.1,2247
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-13,0.1,0.06,0.12,0.06,3228
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-14,0.06,0.06,0.12,0.12,954
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-15,0.12,0.01,0.12,0.01,7923
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-16,0.01,0.01,0.09,0.01,3841
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-17,0.01,0.01,0.09,0.02,3347
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-18,0.02,0.01,0.02,0.01,983
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-19,0.01,0.01,0.03,0.01,1317
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-20,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-21,0.01,0.01,0.01,0.01,294
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-22,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-23,0.01,0.01,0.02,0.02,1
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-24,0.02,0.02,0.02,0.02,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-25,0.02,0.01,0.02,0.01,306
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-26,0.01,0.01,0.02,0.02,571
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-27,0.02,0.02,0.02,0.02,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-28,0.02,0.01,0.06,0.04,2526
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-29,0.04,0.01,0.05,0.03,959
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-11-30,0.03,0.01,0.11,0.04,7446
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-01,0.04,0.01,0.04,0.03,1625
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-02,0.03,0.02,0.04,0.04,828
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-03,0.04,0.02,0.05,0.02,335
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-04,0.02,0.02,0.04,0.04,16
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-05,0.04,0.02,0.04,0.02,1281
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-06,0.02,0.02,0.02,0.02,32
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-07,0.02,0.02,0.02,0.02,300
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-08,0.02,0.02,0.04,0.04,13
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-09,0.04,0.04,0.04,0.04,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-10,0.04,0.02,0.04,0.02,43
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-11,0.02,0.02,0.05,0.05,25
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-12,0.05,0.02,0.05,0.02,1054
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-13,0.02,0.01,0.02,0.01,2356
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-14,0.01,0.01,0.01,0.01,883
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-15,0.01,0.01,0.01,0.01,25
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-16,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-17,0.01,0.01,0.01,0.01,635
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-18,0.01,0.01,0.02,0.01,36
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-19,0.01,0.01,0.03,0.03,26
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-20,0.03,0.01,0.03,0.01,13
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-21,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-22,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-23,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-24,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-25,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-26,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-27,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-28,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-29,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-30,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2018-12-31,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2019-01-01,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2019-01-02,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2019-01-03,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2019-01-04,0.01,0.01,0.01,0.01,0
12820,Will a GOP candidate win the 2018 House of Reps race in ME's 2nd district?,2019-01-05,0.01,0.01,0.01,0.01,0
