ID,ideology,leadership,name,party,description,introduced_bills_115,cosponsored_bills_115,unique_cosponsors_115,total_cosponsors_115,chamber
412302,0.9841688139218938,0.8210351298450422,Olson,Republican,conservative Republican leader,13,286,140,188,house
400652,0.8284889949267222,0.8884887460563152,Poe,Republican,moderate Republican leader,50,322,287,593,house
400313,0.9090489454604411,0.4094813772831577,Pearce,Republican,conservative Republican,23,254,75,106,house
412514,0.2886957395467429,0.4994271566284473,Swalwell,Democrat,rank-and-file Democrat,15,482,218,401,house
400103,0.21069038626421618,0.7655664603967969,DeLauro,Democrat,progressive Democratic leader,52,409,223,1338,house
412517,0.30076808379837,0.6392143124881962,Cárdenas,Democrat,moderate Democratic leader,30,389,221,730,house
400111,0.32729609198813286,0.6038379079177006,Doggett,Democrat,rank-and-file Democrat,18,232,188,905,house
412215,0.1013203659039833,0.49632648367109283,Ellison,Democrat,progressive Democrat,43,583,138,371,house
400237,0.007259294165460806,0.7012978752085623,Lee,Democrat,progressive Democratic leader,52,751,204,1217,house
400661,0.12234842640531586,0.44534971074771684,Moore,Democrat,progressive Democrat,25,735,102,199,house
412585,0.17927273737999544,0.5344071084543104,Pocan,Democrat,progressive Democrat,19,768,171,521,house
400360,0.10583336938288548,0.6065827891235914,Schakowsky,Democrat,progressive Democrat,33,749,175,528,house
