date,race,close,prob
2018-08-13,NV-04,0.89,0.8464
2018-08-13,NV-S1,0.64,0.5407
2018-08-13,NY-01,0.28,0.1076
2018-08-13,NY-09,0.98,1
2018-08-13,NY-14,0.95,1
2018-08-13,NY-19,0.62,0.5392
2018-08-13,NY-27,0.95,0.188
2018-08-13,OH-S1,0.88,0.9514
2018-08-13,PA-06,0.96,0.9819
2018-08-13,PA-09,0.03,0.0081
2018-08-13,PA-15,0.14,1e-4
2018-08-13,PA-17,0.77,0.9731
2018-08-13,PA-S1,0.84,0.9555
2018-08-13,PA-S1,0.93,0.9555
2018-08-13,SC-04,0.02,2e-4
2018-08-13,TN-S1,0.51,0.2839
2018-08-13,TX-05,0.1,0.001
2018-08-13,TX-06,0.14,0.0744
2018-08-13,TX-21,0.14,0.1634
2018-08-13,TX-23,0.62,0.7272
2018-08-13,TX-29,0.96,1
2018-08-13,TX-S1,0.28,0.2615
2018-08-13,VA-02,0.63,0.2232
2018-08-13,VA-06,0.17,0.0042
2018-08-13,VA-10,0.8200000000000001,0.7468
2018-08-13,VA-S1,0.94,0.9925
2018-08-13,VT-S1,0.95,0.9999
2018-08-13,WA-08,0.67,0.5009
2018-08-13,WI-01,0.36,0.2669
2018-08-13,WI-S1,0.81,0.9792
2018-08-13,WV-03,0.65,0.0646
2018-08-13,WV-S1,0.83,0.8653
2018-08-14,AZ-S1,0.61,0.7335
2018-08-14,CA-10,0.6699999999999999,0.6912
2018-08-14,CA-12,0.94,1
2018-08-14,CA-22,0.21999999999999997,0.0441
2018-08-14,CA-25,0.65,0.7429
2018-08-14,CA-39,0.63,0.4795
2018-08-14,CA-48,0.64,0.6544
2018-08-14,CA-49,0.77,0.8046
2018-08-14,CA-S1,0.87,1
2018-08-14,CO-05,0.06999999999999995,0.0234
2018-08-14,CO-06,0.5800000000000001,0.6398
2018-08-14,CT-05,0.96,0.9682
2018-08-14,FL-15,0.31,0.2609
2018-08-14,FL-17,0.09,0.0033
2018-08-14,FL-26,0.62,0.3853
2018-08-14,FL-27,0.94,0.9734
2018-08-14,FL-S1,0.51,0.6153
2018-08-14,IL-12,0.58,0.3877
2018-08-14,IN-S1,0.39,0.867
