date,mid,race,party,open,low,high,close,vol
2018-10-08,4015,MD-06,R,0.13,0.13,0.13,0.13,0
2018-10-09,4015,MD-06,R,0.13,0.13,0.13,0.13,0
2018-10-10,4015,MD-06,R,0.13,0.13,0.13,0.13,0
2018-10-11,4015,MD-06,R,0.13,0.13,0.13,0.13,0
2018-10-12,4015,MD-06,R,0.13,0.13,0.13,0.13,0
2018-10-13,4015,MD-06,R,0.13,0.11,0.13,0.11,1
2018-10-14,4015,MD-06,R,0.11,0.11,0.11,0.11,0
2018-10-15,4015,MD-06,R,0.11,0.08,0.11,0.08,1
2018-10-16,4015,MD-06,R,0.08,0.08,0.08,0.08,0
2018-10-17,4015,MD-06,R,0.08,0.08,0.08,0.08,0
2018-10-18,4015,MD-06,R,0.08,0.08,0.08,0.08,0
2018-10-19,4015,MD-06,R,0.08,0.08,0.08,0.08,0
2018-10-20,4015,MD-06,R,0.08,0.06,0.08,0.06,27
2018-10-21,4015,MD-06,R,0.06,0.06,0.06,0.06,0
2018-10-22,4015,MD-06,R,0.06,0.06,0.06,0.06,0
2018-10-23,4015,MD-06,R,0.06,0.06,0.06,0.06,22
2018-10-24,4015,MD-06,R,0.06,0.05,0.06,0.05,1
2018-10-25,4015,MD-06,R,0.05,0.05,0.05,0.05,4
2018-10-26,4015,MD-06,R,0.05,0.05,0.05,0.05,0
2018-10-27,4015,MD-06,R,0.05,0.05,0.05,0.05,0
2018-10-28,4015,MD-06,R,0.05,0.05,0.05,0.05,10
2018-10-29,4015,MD-06,R,0.05,0.05,0.05,0.05,0
2018-10-30,4015,MD-06,R,0.05,0.05,0.05,0.05,20
2018-10-31,4015,MD-06,R,0.05,0.05,0.05,0.05,0
2018-11-01,4015,MD-06,R,0.05,0.05,0.05,0.05,0
2018-11-02,4015,MD-06,R,0.05,0.05,0.05,0.05,0
2018-11-03,4015,MD-06,R,0.05,0.05,0.07,0.07,1
2018-11-04,4015,MD-06,R,0.07,0.07,0.07,0.07,0
2018-11-05,4015,MD-06,R,0.07,0.07,0.07,0.07,0
2018-11-06,4015,MD-06,R,0.07,0.01,0.07,0.05,241
2018-11-07,4015,MD-06,R,0.05,0.05,0.05,0.05,0
2018-01-04,4016,PA-09,D,0.5,0.29,0.5,0.29,3
2018-01-05,4016,PA-09,D,0.29,0.13,0.29,0.13,20
2018-01-06,4016,PA-09,D,0.13,0.13,0.13,0.13,0
2018-01-07,4016,PA-09,D,0.13,0.13,0.22,0.22,127
2018-01-08,4016,PA-09,D,0.22,0.19,0.22,0.21,21
2018-01-09,4016,PA-09,D,0.21,0.2,0.21,0.2,97
2018-01-10,4016,PA-09,D,0.2,0.15,0.2,0.15,1
2018-01-11,4016,PA-09,D,0.15,0.15,0.15,0.15,0
2018-01-12,4016,PA-09,D,0.15,0.15,0.21,0.2,85
2018-01-13,4016,PA-09,D,0.2,0.19,0.2,0.19,1
2018-01-14,4016,PA-09,D,0.19,0.19,0.19,0.19,0
2018-01-15,4016,PA-09,D,0.19,0.19,0.19,0.19,0
2018-01-16,4016,PA-09,D,0.19,0.17,0.19,0.17,75
2018-01-17,4016,PA-09,D,0.17,0.16,0.2,0.17,138
2018-01-18,4016,PA-09,D,0.17,0.17,0.17,0.17,0
2018-01-19,4016,PA-09,D,0.17,0.14,0.17,0.14,200
2018-01-20,4016,PA-09,D,0.14,0.14,0.18,0.18,38
2018-01-21,4016,PA-09,D,0.18,0.15,0.18,0.15,10
2018-01-22,4016,PA-09,D,0.15,0.15,0.18,0.18,226
2018-01-23,4016,PA-09,D,0.18,0.18,0.18,0.18,4
2018-01-24,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-01-25,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-01-26,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-01-27,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-01-28,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-01-29,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-01-30,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-01-31,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-02-01,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-02-02,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-02-03,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-02-04,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-02-05,4016,PA-09,D,0.18,0.17,0.18,0.17,17
2018-02-06,4016,PA-09,D,0.17,0.17,0.17,0.17,0
2018-02-07,4016,PA-09,D,0.17,0.17,0.19,0.17,221
2018-02-08,4016,PA-09,D,0.17,0.17,0.18,0.18,51
2018-02-09,4016,PA-09,D,0.18,0.18,0.18,0.18,1
2018-02-10,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-02-11,4016,PA-09,D,0.18,0.18,0.18,0.18,1
2018-02-12,4016,PA-09,D,0.18,0.18,0.18,0.18,1
2018-02-13,4016,PA-09,D,0.18,0.18,0.18,0.18,1
2018-02-14,4016,PA-09,D,0.18,0.18,0.18,0.18,1
2018-02-15,4016,PA-09,D,0.18,0.18,0.18,0.18,0
2018-02-16,4016,PA-09,D,0.18,0.18,0.18,0.18,190
2018-02-17,4016,PA-09,D,0.18,0.18,0.19,0.19,1
2018-02-18,4016,PA-09,D,0.19,0.19,0.19,0.19,0
2018-02-19,4016,PA-09,D,0.19,0.17,0.23,0.18,1413
2018-02-20,4016,PA-09,D,0.18,0.17,0.18,0.18,145
2018-02-21,4016,PA-09,D,0.18,0.11,0.18,0.11,316
2018-02-22,4016,PA-09,D,0.11,0.11,0.11,0.11,0
2018-02-23,4016,PA-09,D,0.11,0.11,0.11,0.11,0
2018-02-24,4016,PA-09,D,0.11,0.11,0.17,0.17,1
2018-02-25,4016,PA-09,D,0.17,0.17,0.17,0.17,0
2018-02-26,4016,PA-09,D,0.17,0.17,0.17,0.17,0
2018-02-27,4016,PA-09,D,0.17,0.12,0.17,0.12,1
2018-02-28,4016,PA-09,D,0.12,0.12,0.12,0.12,0
2018-03-01,4016,PA-09,D,0.12,0.12,0.12,0.12,0
2018-03-02,4016,PA-09,D,0.12,0.11,0.12,0.11,1
2018-03-03,4016,PA-09,D,0.11,0.11,0.11,0.11,0
2018-03-04,4016,PA-09,D,0.11,0.11,0.11,0.11,0
2018-03-05,4016,PA-09,D,0.11,0.11,0.11,0.11,0
2018-03-06,4016,PA-09,D,0.11,0.11,0.19,0.19,1
2018-03-07,4016,PA-09,D,0.19,0.19,0.19,0.19,0
2018-03-08,4016,PA-09,D,0.19,0.19,0.19,0.19,0
2018-03-09,4016,PA-09,D,0.19,0.19,0.19,0.19,0
2018-03-10,4016,PA-09,D,0.19,0.19,0.19,0.19,0
2018-03-11,4016,PA-09,D,0.19,0.19,0.21,0.21,1
2018-03-12,4016,PA-09,D,0.21,0.21,0.21,0.21,0
2018-03-13,4016,PA-09,D,0.21,0.19,0.23,0.23,1046
2018-03-14,4016,PA-09,D,0.23,0.23,0.25,0.23,3
2018-03-15,4016,PA-09,D,0.23,0.23,0.23,0.23,0
2018-03-16,4016,PA-09,D,0.23,0.23,0.23,0.23,0
2018-03-17,4016,PA-09,D,0.23,0.23,0.25,0.25,1
2018-03-18,4016,PA-09,D,0.25,0.25,0.25,0.25,0
2018-03-19,4016,PA-09,D,0.25,0.25,0.25,0.25,0
2018-03-20,4016,PA-09,D,0.25,0.25,0.25,0.25,0
2018-03-21,4016,PA-09,D,0.25,0.25,0.25,0.25,0
2018-03-22,4016,PA-09,D,0.25,0.25,0.25,0.25,0
2018-03-23,4016,PA-09,D,0.25,0.25,0.25,0.25,0
2018-03-24,4016,PA-09,D,0.25,0.25,0.25,0.25,0
2018-03-25,4016,PA-09,D,0.25,0.25,0.25,0.25,0
2018-03-26,4016,PA-09,D,0.25,0.25,0.25,0.25,0
2018-03-27,4016,PA-09,D,0.25,0.25,0.25,0.25,0
2018-03-28,4016,PA-09,D,0.25,0.24,0.25,0.24,1
2018-03-29,4016,PA-09,D,0.24,0.24,0.24,0.24,0
2018-03-30,4016,PA-09,D,0.24,0.24,0.24,0.24,0
