date,mid,cid,price,volume,code,party
2018-08-12,4106,9371,0.85,0,SC-04,R
2018-08-12,4106,9372,0.02,0,SC-04,D
2018-08-12,4126,9452,0.38,0,NY-19,R
2018-08-12,4126,9453,0.62,0,NY-19,D
2018-08-12,4126,9452,0.38,0,NY-19,R
2018-08-12,4126,9453,0.62,0,NY-19,D
2018-08-12,4127,9454,0.77,0,NY-01,R
2018-08-12,4127,9455,0.28,0,NY-01,D
2018-08-12,4127,9454,0.77,0,NY-01,R
2018-08-12,4127,9455,0.28,0,NY-01,D
2018-08-12,4138,9503,0.58,0,MN-08,R
2018-08-12,4138,9504,0.55,0,MN-08,D
2018-08-12,4138,9503,0.58,0,MN-08,R
2018-08-12,4138,9504,0.55,0,MN-08,D
2018-08-12,4156,9571,0.09,0,FL-17,D
2018-08-12,4156,9572,0.89,0,FL-17,R
2018-08-12,4156,9571,0.09,0,FL-17,D
2018-08-12,4156,9572,0.89,0,FL-17,R
2018-08-12,4177,9647,0.84,0,PA-00,D
2018-08-12,4177,9648,0.14,0,PA-00,R
2018-08-12,4177,9647,0.84,0,PA-00,D
2018-08-12,4177,9648,0.14,0,PA-00,R
