date,name,chamber,code,party,incumbent,voteshare,prob,mid,cid,price,volume
2018-08-10,Richard Ojeda,house,WV-03,D,FALSE,0.4194,0.062,4644,11571,0.68,0
2018-08-10,Carol Miller,house,WV-03,R,FALSE,0.5806,0.938,4644,11572,0.32,5
2018-08-10,Richard Ojeda,house,WV-03,D,FALSE,0.4194,0.062,4644,11571,0.68,0
2018-08-10,Carol Miller,house,WV-03,R,FALSE,0.5806,0.938,4644,11572,0.32,5
2018-08-11,Elizabeth Warren,senate,MA-99,D,TRUE,0.6406000000000001,0.999,2918,5264,0.95,50
2018-08-11,Ted Cruz,senate,TX-99,R,TRUE,0.5144,0.74,2928,5313,0.72,1128
2018-08-11,Bernard Sanders,senate,VT-99,I,TRUE,0.6797,1,2940,5368,0.95,0
2018-08-11,Joe Manchin III,senate,WV-99,D,TRUE,0.5287,0.865,2941,5369,0.79,470
2018-08-11,Joe Donnelly,senate,IN-99,D,TRUE,0.5303,0.864,2998,5563,0.4,10
2018-08-11,Nancy Pelosi,house,CA-12,D,TRUE,0.8981999999999999,1,3450,7165,0.93,1
2018-08-11,Heidi Heitkamp,senate,ND-99,D,TRUE,0.51,0.598,3480,7266,0.4,25
2018-08-11,Jon Tester,senate,MT-99,D,TRUE,0.536,0.895,3481,7267,0.68,374
2018-08-11,Claire McCaskill,senate,MO-99,D,TRUE,0.5105,0.74,3484,7270,0.48,275
2018-08-11,Tammy Baldwin,senate,WI-99,D,TRUE,0.5772999999999999,0.979,3485,7271,0.83,28
2018-08-11,Debbie Stabenow,senate,MI-99,D,TRUE,0.5726,0.986,3489,7287,0.79,654
2018-08-11,Anthony Brown,house,MD-04,D,TRUE,0.7712,1,3490,7288,0.82,83
2018-08-11,Robert Menendez,senate,NJ-99,D,TRUE,0.551,0.945,3496,7308,0.77,35
2018-08-11,Martin Heinrich,senate,NM-99,D,TRUE,0.49439999999999995,0.969,3497,7309,0.91,0
2018-08-11,Angus S. King Jr.,senate,ME-99,I,TRUE,0.6271,0.999,3503,7332,0.97,0
2018-08-11,Martha McSally,senate,AZ-99,R,FALSE,0.4612,0.267,3507,7345,0.02,88
2018-08-11,Don Bacon,house,NE-02,R,TRUE,0.4929,0.429,3514,7352,0.54,0
2018-08-11,Diane L. Harkey,house,CA-49,R,FALSE,0.4668,0.2,3521,7377,0.03,0
2018-08-11,Mike Coffman,house,CO-06,R,TRUE,0.4702,0.364,3530,7392,0.37,4
2018-08-11,Carlos Curbelo,house,FL-26,R,TRUE,0.5129,0.622,3531,7393,0.38,135
2018-08-11,Jason Lewis,house,MN-02,R,TRUE,0.47240000000000004,0.246,3532,7394,0.15,0
2018-08-11,Barbara Comstock,house,VA-10,R,TRUE,0.4755,0.256,3538,7420,0.15,5
2018-08-11,Chris Pappas,house,NH-01,D,FALSE,0.5145000000000001,0.803,3539,7421,0.01,0
2018-08-11,Dean Heller,senate,NV-99,R,TRUE,0.47909999999999997,0.462,3608,7635,0.36,24
2018-08-11,Glenn W. Thompson,house,PA-15,R,TRUE,0.7116,1,3736,8047,0.93,0
2018-08-11,Susan Boser,house,PA-15,D,FALSE,0.2884,0,3736,8048,0.14,0
2018-08-11,Glenn W. Thompson,house,PA-15,R,TRUE,0.7116,1,3736,8047,0.93,0
2018-08-11,Susan Boser,house,PA-15,D,FALSE,0.2884,0,3736,8048,0.14,0
2018-08-11,Dino Rossi,house,WA-08,R,FALSE,0.5005,0.502,3737,8049,0.4,1
2018-08-11,Kim Schrier,house,WA-08,D,FALSE,0.49950000000000006,0.498,3737,8051,0.67,4
2018-08-11,Dino Rossi,house,WA-08,R,FALSE,0.5005,0.502,3737,8049,0.4,1
2018-08-11,Kim Schrier,house,WA-08,D,FALSE,0.49950000000000006,0.498,3737,8051,0.67,4
2018-08-11,Donna Shalala,house,FL-27,D,FALSE,0.5734,0.973,3738,8050,0.94,0
